brown cours csci | ./temp_test_index.txt 4 ./temp_test_index.txt 4
brown cours | ./temp_test_index.txt 4 ./temp_test_index.txt 4
brown | ./temp_test_index.txt 4 ./temp_test_index.txt 4
check stuff level | https://cs.brown.edu/courses/csci1380/sandbox/1 3 https://cs.brown.edu/courses/csci1380/sandbox/1 3
check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 3 https://cs.brown.edu/courses/csci1380/sandbox/1 3
check | https://cs.brown.edu/courses/csci1380/sandbox/1 3 https://cs.brown.edu/courses/csci1380/sandbox/1 3
cours csci sandbox | ./temp_test_index.txt 4 ./temp_test_index.txt 4
cours csci | ./temp_test_index.txt 4 ./temp_test_index.txt 4
cours | ./temp_test_index.txt 4 ./temp_test_index.txt 4
csci sandbox http | ./temp_test_index.txt 3 ./temp_test_index.txt 3
csci sandbox | ./temp_test_index.txt 4 ./temp_test_index.txt 4
csci | ./temp_test_index.txt 4 ./temp_test_index.txt 4
http brown cours | ./temp_test_index.txt 4 ./temp_test_index.txt 4
http brown | ./temp_test_index.txt 4 ./temp_test_index.txt 4
http | ./temp_test_index.txt 4 ./temp_test_index.txt 4
level check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 2 https://cs.brown.edu/courses/csci1380/sandbox/1 2
level check | https://cs.brown.edu/courses/csci1380/sandbox/1 2 https://cs.brown.edu/courses/csci1380/sandbox/1 2
level right | https://cs.brown.edu/courses/csci1380/sandbox/1 1 https://cs.brown.edu/courses/csci1380/sandbox/1 1
level | https://cs.brown.edu/courses/csci1380/sandbox/1 3 https://cs.brown.edu/courses/csci1380/sandbox/1 3
link check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 1 https://cs.brown.edu/courses/csci1380/sandbox/1 1
link check | https://cs.brown.edu/courses/csci1380/sandbox/1 1 https://cs.brown.edu/courses/csci1380/sandbox/1 1
link | https://cs.brown.edu/courses/csci1380/sandbox/1 1 https://cs.brown.edu/courses/csci1380/sandbox/1 1
right | https://cs.brown.edu/courses/csci1380/sandbox/1 1 https://cs.brown.edu/courses/csci1380/sandbox/1 1
sandbox http brown | ./temp_test_index.txt 3 ./temp_test_index.txt 3
sandbox http | ./temp_test_index.txt 3 ./temp_test_index.txt 3
sandbox | ./temp_test_index.txt 4 ./temp_test_index.txt 4
simpl link check | https://cs.brown.edu/courses/csci1380/sandbox/1 1 https://cs.brown.edu/courses/csci1380/sandbox/1 1
simpl link | https://cs.brown.edu/courses/csci1380/sandbox/1 1 https://cs.brown.edu/courses/csci1380/sandbox/1 1
simpl | https://cs.brown.edu/courses/csci1380/sandbox/1 1 https://cs.brown.edu/courses/csci1380/sandbox/1 1
stuff level check | https://cs.brown.edu/courses/csci1380/sandbox/1 2 https://cs.brown.edu/courses/csci1380/sandbox/1 2
stuff level right | https://cs.brown.edu/courses/csci1380/sandbox/1 1 https://cs.brown.edu/courses/csci1380/sandbox/1 1
stuff level | https://cs.brown.edu/courses/csci1380/sandbox/1 3 https://cs.brown.edu/courses/csci1380/sandbox/1 3
stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 3 https://cs.brown.edu/courses/csci1380/sandbox/1 3
word1 | link2 4 link1 2
word2 | link1 1
word4 | link2 1
